month,maximum_rainfall_in_a_day,year,month_only,no_of_rainy_days,total_rainfall
2015-11-01,25.8,2015,11,13.0,72.6
2015-12-01,40.4,2015,12,19.0,302.3
2016-01-01,39.6,2016,1,15.0,126.6
2016-02-01,71.8,2016,2,10.0,186.0
2016-03-01,2.4,2016,3,6.0,6.2
2016-04-01,18.2,2016,4,14.0,89.8
2016-05-01,54.8,2016,5,12.0,193.8
2016-06-01,67.8,2016,6,13.0,162.8
2016-07-01,59.4,2016,7,20.0,168.6
2016-08-01,30.6,2016,8,15.0,139.2
2016-09-01,34.0,2016,9,15.0,118.9
2016-10-01,75.4,2016,10,16.0,181.0
2016-11-01,65.6,2016,11,20.0,290.2
2016-12-01,73.0,2016,12,23.0,292.6
2017-01-01,60.6,2017,1,21.0,197.6
2017-02-01,31.0,2017,2,15.0,158.4
2017-03-01,30.2,2017,3,11.0,136.2
2017-04-01,42.8,2017,4,21.0,208.6
2017-05-01,44.8,2017,5,15.0,190.0
2017-06-01,29.6,2017,6,10.0,106.0
2017-07-01,30.2,2017,7,9.0,79.6
2017-08-01,29.4,2017,8,18.0,84.2
2017-09-01,20.2,2017,9,19.0,124.4
2017-10-01,31.2,2017,10,18.0,120.8
2017-11-01,45.2,2017,11,24.0,268.6
2017-12-01,69.8,2017,12,23.0,371.2
2018-01-01,45.8,2018,1,25.0,287.0
2018-02-01,13.0,2018,2,5.0,14.8
2018-03-01,15.2,2018,3,10.0,44.6
2018-04-01,14.0,2018,4,14.0,61.2
2018-05-01,47.4,2018,5,19.0,132.2
2018-06-01,46.8,2018,6,17.0,182.6
2018-07-01,32.4,2018,7,10.0,143.2
2018-08-01,34.6,2018,8,11.0,121.6
2018-09-01,45.0,2018,9,13.0,144.4
2018-10-01,60.6,2018,10,18.0,234.4
2018-11-01,20.6,2018,11,27.0,169.6
2018-12-01,43.8,2018,12,19.0,172.6
2019-01-01,38.2,2019,1,9.0,63.6
2019-02-01,13.4,2019,2,5.0,31.6
2019-03-01,29.0,2019,3,6.0,72.2
2019-04-01,52.4,2019,4,9.0,174.8
2019-05-01,17.2,2019,5,13.0,69.0
2019-06-01,37.6,2019,6,16.0,173.8
2019-07-01,6.6,2019,7,8.0,12.2
2019-08-01,3.8,2019,8,6.0,11.8
2019-09-01,16.4,2019,9,4.0,22.8
2019-10-01,92.2,2019,10,15.0,176.8
